# Generated from Radheef (radheef.siyamex.com) by scripts/build_definitions.py — do not edit by hand.
ހަ	(ނ) ހަދޯނި
ސިދުރިޔާ	ފިރިހެނުން ހެދުމުގެ ބޭރުންލާ އަތް ނުހުންނަ ކޯޓެއް
ސިދުރިޔާކޮޅު	ސިދުރިޔާއަށް މާތްކޮށް ކިޔާގޮތް
ސިދުރިޔާކޮތަރު	ތަލަ މަތީން ބުރަކަށި މައްޗާއި ފިޔަގަނޑު ކަޅު ނުވަތަ މުށި ނުވަތަ އަޅިކުލައިގައި ހުންނަ ކޮތަރު
ސިތާރު	މިޔުޒިކު ކުޅޭ ގިޓާ ފާޑުގެ ނަރުލީ އެއްޗެއް
ސިލަވަރު	ސިލްވަރު
ސިލިނބު	ސިލުނބު
ސިލިންޑަރު	މިއީ ގޭސްފަދަ އެއްޗެހި އަޅަން ހަދައިފައި ހުންނަ އެއްޗެކެވެ
ސިލިވަރު	) ސިލްވަރު
ސިލު	ނުވަތަ ނިޝާން
ސިލުނބު	މި ހުންނަނީ އަބުނައިގެ ކޮޅުގައި ހުންނަ ސަދަބަށް ޖެހޭގޮތަށެވެ
ސިލުވާނަށްތެޅުން	އިހުގައި މީހެއްގެ އަންބަކު ހިލޭ ފިރިހެނަކާ ހުއްދަ ނޫން ގުޅުމެއް ހިންގުމުން އެ ފިރިހެން މީހާގެ ގައިގައި ބޮންތި އަކުން ތިނެތިފަހަރު ޖެހުމަށް އެކަނބުލޭގެ ފިރިމީހާއަށް ފަނޑިޔާރު ގެއިން ނުވަތަ ނައިބުގެއިން ހުއްދަ ދީގެން ޖަހާ ތިނެތި ފަހަރު ޖެހުން
ސިލުވާނާއެރުން	ސިލުވާން ކުރަންޖެހޭ ފަދަ ގުޅުމެއް މީހެއްގެ އަނތްބަކާމެދު ހިންގުން
ސިލުވާނާމަތިވުން	ސިލުވާން އެރުން
ސިލުވާނު	އިހުގައި މީހެއްގެ އަނތްބަކާ ހުއްދަނޫން ގުޅުމެއް ހިންގުމުން އެ ގުޅުމެއް ހިންގި ފިރިހެނަކަށްދޭ އަދަބެއް
ސިލުވާނުކުރުން	ސިލުވާނަށް ތެޅުން
ސިލޭހަ	ލޮންސިއާ އެއްވައްތަރަށް ހަދައިފައި ހުންނަ ހަތިޔާރެއް
ސިލޭހަހިފުން	ކީރިތި މަހާރަދުން ރަސްމީ ޢިއްޒަތުގައި ތަންތަނަށް ވަޑައި ގަންނަވާއިރު ސިލޭހަ ހިފައިގެން ރަދުންގެ ދެފަރާތްޕުޅުގައި ދެސަފަށް ތިބުން
ސިލޭހަބަތް	އިހުގައި ރަދުންގެ އަރިހުގައި ސިލޭހަ ހިފައިގެން ހުކުރަށްދާ ހަނގު ބޭކަލުންނަށް ގަނޑުވަރު ތެރެއިން ދެއްވާ ބޮނޑިބަތެއް
ސިލޭހަވެރިން	ސިލޭހަ ހިފާމީހުން
ސިލްކު	ފަށުއި
ސިލްވަރު	އެލްމެނިޔަމް
ސިލްސިލާ	(ނ) ފިލްމުގެ ސިލްސިލާ
ސިލްޖެހުން	އެއްޗެއް ބަންދުކޮށްފައި ޖަހާ ސިއްކަ ނުވަތަ ނިޝާން ޖެހުން
ސިގުނަލް	އިޝާރާތް
ސިޑި	(2) ހަރުފަތް ބަރި
ސިޓީ	މި ލިއުން ފޮނުވާނީ ޕޯސްޓު ނުވަތަ މީހަކު މެދުވެރިކޮށެވެ
ސިޓީބިޓީ	ސިޓީޔާ އެފަދަ ތަކެތި
ސިޓީކެނޑުން	ސިޓީއުރަ ހުޅުވުން
ސިޓީއުރަ	ސިޓީފަދަ ތަކެތި ލުމަށް ހަދައިފައި ހުންނަ އުރަ
ސިޓީލުން	(2) ރަސްމީ ފަރާތަކަށް ޝަކުވާއެއް ހުށައެޅުމަށް ސިޓީއެއް ފޮނުވުން
ސިޔާދަތު	(5) ޤައުމެއްގެ މިނިވަންކަން
ސިޔާސަ	) ގަދަފަދަ ކަމާއި ބާރު
ސިޔާސަކަން	) ގަދަފަދަ ކަމާއި އާރާއިބާރުހުރިކަން
ސިޔާސަވުން	) ގަދަފަދަ ކަމާއި ބާރުދެއްކުން
ސިޔާސަތު	(2) އިންސާނީ މުޖްތަމަޢެއްގެ މައްޗަށް ވެރިކަން ހިންގުމުގެ ފަންނު
ސިޔާސީ	(2) ސިޔާސަތާގުޅޭ
ސިޙުރުކުރުން	ސިޙުރު ފަންޑިތަ ހެދުން
ސިޙުރުވެރިން	ސިހުރު ހަދައިއުޅޭ މީހުން
ސިޙުރުވެރިޔާ	ސިހުރުހަދާމީހާ
ސިޙުރުމުގުރި	ސިހުރު ބާޠިލް ކުރާ ފަންޑިތަ
ސިޙުރުޖެހުން	ސިހުރުން އަސަރުކުރުން
ސީ	(3) (މަލިކު) މަހުގެ ލަގޮނޑީގެ ފޫޅު
ސީނާބަދަން	އެތެރެ ވަތްވަތަށް ހުންނަ ބަދަނެއް
ސީނިސަންބޯލް	އެހެން ހުރިހާ އެއްޗެއްސަކީ ރަހަލާވަރަށް އަޅާ ތަކެއްޗެވެ
ސީނިސައްކަރު	އިހުގައި ގެންނަ ހަނޑުލުގެ ބާވަތެއް
ސީނު	ތާނައިގެ ސަތާރަވަނަ އަކުރު
ސީނުހަކުރު	އުއްސަކުރު
ސީނުކަރަ	ޗައިނާ
ސީނުކުކުޅު	(2) ނާށިގަނޑު ކުކުޅު
ސީނުދަތި	މި ހުންނާނީ ފުއްކަނޑައިފައި ހުންނަ ދެފަޅީގެ ދެމެދުގައި މީދާ ތިއްބޭ ގޮތަށެވެ
ސީނުތަށި	މީގެ އެކިމިނުގެ އެކި ވައްތަރުގެ ތަށިހުރެއެވެ
ސީނުސަންފާކެޔޮ	ކޭލުގެ ފޮނި ގަދަވާނެއެވެ
ސީނުސަންޕާ	ސީނުސަންފާކެޔޮ
ސީނުސައްޓި	) ސައްޓި
ސީނެކޭލް	) ބޮންތިރަތްކެޔޮ
ސީން	(2) ކުޑަކުދިންގެ ބަހުރުވައިގައި ފޮޅި
ސީރާ	ރޯމަސް ކުނިވިޔަ ނުދިނުމަށް ހިމުން ލޮނުގެ ތެރެއަށް އަޅައިފައި ބެހެއްޓީމާ ވާގޮތް
ސީރާކުރުން	ސީރާއެޅުން
ސީރާއެޅުން	ރޯމަސް ނުބައިނުވެ ގިނަދުވަހު ހުންނާނެގޮތް ހެދުމަށްޓަކައި ފުށްލޮނު އަޅައިފައި ބެހެއްޓުން
ސީރާވުން	ލޮނުގެ ތެރެއަށް މަސްއަޅައި ވަކިމުއްދަތަކަށް ބެހެއްޓުމުން އެމަސް ވަކިވަރަކަށް ރޯފިލައި ކުނިނުވާ ގޮތްވުން
ސީރިއަސް	(4) އަބުއި
ސީރިޔަސް	ސީރިއަސް
ސީރިޔަސްވުން	(4) އަބުއިވުން
ސީވޭލް	މަސްދޯނިފަހަރުގެ އިންޖީނުގައި ލޮނު އެތެރެއަށް ވައްދައި ބޭރުކުރުމަށް ހުންނައެތި
ސީދާ	(4) އަމާޒު
ސީދާކަން	(4) އަމާޒުކަން
ސީދާކުރުން	(3) އަމާޒު ކުރުން
ސީދާކޮށްލުން	(2) މަގަށް އަޅުވައިލުން
ސީދާވުން	(4) މަގަށް އެޅުން
ސީދި	(2) މަޖާޒު: އަންހެން ދުޅާ ފިރިހެނުން
ސީދިކަން	މަޖާޒު: ފިރިހެނެއްގެ މިޒާޖުގައި ހުންނަ އަންހެން ދުޅާކަން
ސީދިއޮޑިއަށްސައިތާނުއަރައިއިންހެން	(މިސާލުބަހެއް) މީހަކު ކަމަކާ މާ ގަޔާނުވެ މޫނު އަނެއް ފަރާތަށް އަނބުރައިލައިގެން އިނުމުން ބުނެއުޅޭ ބަހެއް
ސީތަފާ	ގުއިތަފާ
ސީތަފާލުގައި ދަނޑިންތެޅުން	މިއީ ފައިދާ އެއްނުވާ ކަންތައްކުރާ މީހުންނަށް ބުނެއުޅޭބަހެއް
ސީލަވައިގަތުން	ބޮޑުކަމު ހާޖިތައް ދާންވުން
ސީލިން	ދަށުފަންގިފިލާ
ސީލިންކުރުން	ދަށުފަންގިފިލާ އެޅުން
ސީލު	މި ނޭވާލަނީ ފެނުން މައްޗަށެވެ
ސީލުން	ބޮޑުކަމުދިއުން
ސީލެއްވުން	(2) ސީލުން މިބަސް މާތްބަހުން ބޭނުން ކުރެވޭގޮތް
ސީސަންޓިކެޓު	އެކަމެއް ހިނގާ މުޅި މުއްދަތަށް ބޭނުންކުރެވޭ ގޮތަށް ދޫކޮށްފައިވާ ޓިކެޓް
ސީސި	ހީސި
ސީސިލުން	ހީސިލުން
ސީސޯ	މިއީ ކުޑަކުދީން ކުޅުމަށް ބޭނުންކުރާ އެއްޗެކެވެ
ސީޓު	) ރޮނގުރޮނގަށް ކުރެހުންއެޅި
ސީޓުބޮލި	) ރޮނގުދެމި ބޮލި
ސީޓުފޮތި	ރޮނގުދެމި ފޮއްޗާއި ރޮނގުރޮނގަށް މާޖަހައިފައި ހުންނަ ފޮތި
ސުހައިލު	ސަމުގާގެ ދެކުނުދަނޑި
ސުހި	) ހުއި
ސުނޯ	(3) މޫނުގައި އުނގުޅަން ތައްޔާރު ކޮށްފައި ހުންނަ ބާވަތެއްގެ ކްރީމެއް
ސުނޯފޭބުން	ސުނޯވެހުން
ސުން	(2) އަގެއްނެތް
ސުންނަ	) ފުންނަ
ސުންނަތް	(2) ކުރުމުން ސަވާބުލިބޭ ނުކުރިއަސް އަޒާބު ނުލިބޭ ކަންތައް
ސުންނަތްކަންތައް	ކުރުމުން ސަވާބުލިބޭ ނުކުރިޔަސް އަޒާބުނުލިބޭ ކަންތައް
ސުންނަތްޖަމާޢަތް	ސުންނީން
ސުންނާފަތި	(2) ތަންތަންވާ ފުނޑުފުނޑު
ސުންނާފަތިވުން	(2) ތަނެއް ފުނޑުފުނޑުވުން
ސުންނި	) ޒަކަރު
ސުންނިއުރަ	ޖިމާއުވާއިރު ދަރިމައިވިޔަ ނުދިނުމަށް ޒަކަރަށް ލައްވަން ހަދައިފައި ހުންނަ ތުނި ދުލިފަށެއް ކަހަލަ ރަބަރުއުރަ
ސުންނީން	(2) މުސްލިމުންކުރެ ހަތަރު ޚަލީފާއިން ޤަބޫލުކުރާ މީހުން
ސުންނުބައި	ސުންޕާ
ސުންނުބައިކަން	ސުންޕާކަން
ސުންނުބައިވުން	ސުންޕާވުން
ސުންބުލާ	މިއީ ހަވަނަ ބުރުޖެވެ
ސުންބުލި	އެއްޗެހި އެޅުމަށް އެއްތެޔޮ ފާޑުގެ އެއްޗަކުން ހިމަދިގުކޮށް ވިޔެފައި ހުންނަ އެއްޗެއް
ސުންބުލީހަކުރު	އުއްސަކުރު
ސުންކަން	(4) އިހުގައި ބަނދަރަށް އަންނަ ބޯޓުފަހަރުން ނަގައި އުޅުނު މުދަލުގެ ބާވަތްތައް
ސުންކަންނެގުން	(3) އިހުގައި އަންނަ ބަނގަލާ ބޯޓްފަހަރުން ނަގާ ތަކެތި ނެގުން
ސުންކަންޖެހުން	(2) ދަހިކުދިން ނުވަތަ މީހުން އެތިއެތި ކޮޅުން ކެއުން
ސުންކިއުން	(2) ސުންޕާކަމަށް ބެލުން
ސުންމަ	) ލެއި
ސުންފައި	ސުންޕާ
ސުންފައިކަން	ސުންޕާކަން
ސުންފައިވުން	ސުންޕާވުން
ސުންފާ	ސުންޕާ
ސުންފާކަން	ސުންޕާކަން
ސުންދުރަ	) އެންމެމާތް
ސުންދުސް	ސުންދުސް ފޭރާން
ސުންދުސްފޭރާން	(2) ފަށުއި ފޭރާން
ސުންގަޑި	ކަމެއް ނިންމުމަށް ހަމަޖައްސައިފައިވާ ވަގުތު
ސުންގޮބޮޅި	އެއްޗަކަށް ނުވާ
ސުންޑަލި	ސޯޅިޔާހުނި
ސުންޕާ	(2) ކަމެއްގެ ސަބަބުން މެދުވެރިވާ ދެރަގޮތް
ސުންޕާވުން	(2) ކަމެއްގެ ސަބަބުން ދެރަގޮތެއް މެދުވެރިވުން
ސުރާ	) އަޑިޔަށް ނަނުފައްތައިގެން ކުރާ ކެޔޮޅުކަން
ސުރާމަސްވެރިން	ބޮޑު ކަންނެލި ބާނަންކުރާ މަސްވެރިކަން
ސުރި	) މުއިރު
ސުރިޔާ	) މުއިރު
ސުރީ	) ސިރީ
ސުރުކާހުތް	މޭބިސްކަދުރު ދިޔައިން ހަދާހުތް
ސުރުވާ	މަސް ނުވަތަ ތަރުކާރީ ފަދަ ތަކެތިން ވަކިގޮތަކަށް ތައްޔާރު ކުރާ ބުއިމެއް
ސުރުވާފިޔޮއް	ސުރުވާ ކައްކާވަރުގެ ޅަފިޔޮއް
ސުރުމުއްޓި	) ސުރުމުތި
ސުރުމުތި	ބާޒާ ވައްތަރު އެއަށްވުރެ ކުޑަ ދޫންޏެއް
ސުރުޖީ	) ސޫޖީ
ސުރުޚީ	މައިގަނޑު ނަން
ސުރޫރު	ނ
ސުރެ	(ށ) ދޭއް ޖެހީއްސުރެ
ސުރެން	ސުރެ
ސުރެންސުރެން	(2) އެއްކޮޅުން އަނެއްކޮޅަށް
ސުބަ	(2) ހެޔޮ
ސުބަސަދަސުވަރުދާނަ	) އެންމެ ރިވެތިކަން ލިބިގެންވާ މީހާ
ސުބޫތު	ހެކި
ސުބެ	) ފަނުން ވިޔެފައިވާ ބަށި
ސުބެޔާ	) ސުވާ
ސުކުނިމުކުނި	ކުދިކުދި އެއްޗެހީގެ އޭތިމީތި
ސުކުން	މިނިޝާން އޮންނަނީ ވަށް ބޮޅެއްގެ ސިފައިގައެވެ
ސުކުންކުރުން	ސުކުން ޖެހުން
ސުކުންވުން	އަކުރެއްގައި ސުކުން އޮތުން
ސުކުންދު	) ސިކުންތު
ސުކުންތު	ސިކުންތު
ސުކުންޖެހުން	ސުކުނުގެ ނިޝާން އަކުރުގެ މަތީގައި ލިއުން
ސުކޫތު	ހަމަހިމޭން ވަގުތު ކޮޅެއް
ސުއިޓަރު	ފިނިން ރައްކާތެރި ވުމަށްޓަކައި ލާން ވިޔެފައި ހުންނަ ފޭރާމެއް
ސުއިޗު	ކަރަންޓް ގުޅުވައިދީ ކަނޑައި ދިނުމަށް ހަދައިފައި ހުންނަ އެއްޗެއް
ސުއްބު	(2) ކުޑައެތިފޮދު
ސުއްކަތުރާ	މިޖަޒީރާ އޮންނަނީ ޢަރަބި ކަނޑުގައެވެ
ސުއްކަތުރާކަނޑު	މިއީ ވަރަށް ގަދަ ކަނޑުއޮޅިއެކެވެ
ސުއްމި	) ވެން ފުންނަ
ސުއްދަ	) ދޫ
ސުއްދަހުވައިސްދާނަ	) އެންމެ ހެޔޮ ތެދުވެރިޔާ
ސުއްދަނަ	) އުނދުން
ސުއްދަސުވަރުދަލޯކަ	) ހެޔޮކަން ފޯރައި ތެދުވެރިކަމަށް ނަންވާމީހާ
ސުއްދާނަށްނެގުން	ސުއްދާނު ހިފޭތޯ ބަލަން ނެގުން
ސުއްދާނު	މައްޔިތާގެ ބޮޑުކަމު ނަޖިސް
ސުއްދާނުހިފުން	މައްޔިތާގެ ބޮޑުކަމު ނަޖިސް ނުކުތުން ބަންދުވުން
ސުއްދާނުބެލުން	މައްޔިތާގެ ބޮޑުކަމުދާ ދޮރުން ނަޖިސް ނުކުމޭތޯ ބެލުން
ސުއްޓާ	މިއީ ދުންފަތުގެ އިސްތިޢުމާލު ކުރާމީހުން ރޯކޮށްގެން ބޯ އެއްޗެކެވެ
ސުއްޖާދުކޮޅު	ނ
ސުވަ	) ތެދު
ސުވަރު	(4) އޫރު
ސުވަރުގެ	ޤިޔާމަތް ދުވަހުން އެކަމުގެ ސަވާބާއި ދަރުމަ ދެއްވާ ތަން
ސުވަދަރުމަ	އެންމެ މަތީ ވެރިޔާގެ އަރިހުން ލިބޭ ހެޔޮބަސް ނުވަތަ އުޖޫރަ
ސުވާ	) ފަންވަތުން ވިޔެގެން ކުޅެން ގެންގުޅޭ ބަށި
ސުވާނެއި	) ސަންފާތެޔޮ
ސުވާކުޅުން	ސުވާ ބޭނުންކޮށްގެން ކުޅޭ ކުޅިވަރުކުޅުން
ސުވާމީންގެ	(2) މާތްރަސްކަލާނގެ
ސުވާދީބު	ރާއްޖޭގެ އެންމެ ދެކުނުގެ ހަތަރު އަތޮޅު
ސުވާލު	(2) އެއްޗެއް އަހާ އެހުން
ސުވާލުކުރުން	(2) އެއްޗެއް އެހުން
ސުވާލުމާކު	މި ނިޝާން އޮންނަނީ? މިސިފަޔަށެވެ
ސުވާސާ	ރަނާއި ރަތުލޯ ވަކިވަޒަނަކަށް އެއްކޮށްގެން އުފައްދާ މައުދަނެއް
ސުވާސާކެޔޮ	މިބާވަތުގެ ކެޔޮ ފައްކާވީމާ އެތެރެ ކުޑަކޮށް ރަތްވާނެއެވެ
ސުވާސްތި	(2) މަރުޙަބާ
ސުވާޖެހުން	) ބަށިކުޅުން
ސުވިޓަރު	ސުއިޓަރު
ސުވިޗު	ސުއިޗު
ސުވޭހުހީނާ	މިގަހުގެ ފަތް ފުނޑައިފައި އެޅިޔަސް ފަތްކުދި ހީނާފަތް އެޅީމާ ރަތްވާވަރަކަށް ރަތެއް ނުވާނެއެވެ
ސުވޭހުކުލުނު	ކަރުދޮށްފަދަ ތަންތަން ބޮއިގެން ކުރާލޯބި
ސުވޭހުފަޅޯ	ރަންފަޅޯ
ސުވޭހުގޮށް	ގެތުމަކަށްވާގޮތަށް ގޮށެއް ޖަހައިފައި ހުންނަ އަނގޮޓިއެއް
ސުމަގުލް	ރަށަކުން މުދާ ބޭރުކޮށް އެތެރެކޮށް ހެދުމަށް ކުރާ ވަގު ވިޔަފާރި
ސުމާރު	(2) މިންވަރު
ސުމާރުނަންބަރު	ޝުމާރު ނަންބަރު
ސުފުރާ	ކާންހަދާ ތަށިތައް އޭގެ މަތީގައި އެތުރުމަށްޓާކައި ފަތުރާލާ އެތި
ސުފުރާމަތި	ކެއުމަށް ތައްޔާރު ކޮށްފައިވާތަން
ސުތުލިބަރަނި	ސުތުލި ރޮދިން އަނބުރައިފައި ހުންނަ ބަރަނި
ސުލައިޑު	މައިކްރޮސްކޯޕަށް ލައްވާ ބިއްލޫރިކޮޅު
ސުލޫކު	(2) ޢަމަލުތައް ހުންނަގޮތް
ސުލޭމާނު	ހަރުހިލައިގެ ތެރޭގައި ހިމެނޭ އަގުހުރި އެއްޗެއް
ސުލޭމާނުމުދި	މިއީ ފަންޑިތަވެރި ކަމުގައި ބޭނުންކުރާ ނިޝާނެކެވެ
ސުލްޙަ	(3) އަމަން އަމާންކަން
ސުގުޅިމުގުޅި	(3) އެއްތަނެއްގައި ހުންނަ އެކިވައްތަރުގެ ބާއެއްޗެހި
ސުޓޫޑިއޯ	(4) ޓެލެވިޥަނުން ދުރަށް ދައްކާ ނުވަތަ ރޭޑިޔޯއިން ދުރަށް އަޑު ފޮނުވާތަން
ސުޓޭޖު	އިސްޓޭޖް
ސުޕީޑް	(2) ކުރިއަށްދާ މިންވަރު
ސުޕުރޭ	ވައިގެ ބާރުން ވަޔާއެކު ބުރުވައިލާ ތިކިތައް
ސުޕުރޭކުރުން	ދިޔާ އެއްޗެއް ވައިގެ ބާރުން ވަޔާއެކު ބުރުވައިލުން
ސުޕޭސް	ޖައްވު
ސޫ	) ކުޑަކަމުދާ ހާޖަތް
ސޫރަ	(2) ރޫފަ
ސޫރަހެޔޮކަން	(2) ސަމައްތަރު ހެޔޮކަން
ސޫރަކުރުން	ސިފަކުރުން
ސޫރަވުން	ސިފަވުން
ސޫރަދަސަރުނަ	) އިރުގެ އަލިކަން
ސޫރަތް	ކީރިތި ޤުރުއާނުގެ 411 ބައިގެތެރެއިން ބައެއް
ސޫރާޑި	ނަޑަރު
ސޫރި	ކުރުކާލި
ސޫރިކެނޑުން	ކުރުކާލި ކެނޑުން
ސޫރިޔާކެނޑުން	) ސޫރިކެނޑުން
ސޫރުދަ	) އިރު
ސޫރެވިރި	) ވައި
ސޫފާސޫފި	މިބަސް ގިނަކުރުމަށް ބޭނުންކުރާގޮތް
ސޫފި	) ބިސްއަޅައިގެން ވިހާ އެއްޗެހި
ސޫފިކެޔޮ	ފަތްކޭލުގެ ބާވަތެއް
ސޫފިލަނޑައި	) ހުއިފިލަނޑާ
ސޫފިލަނޑާ	) ހުއިފިލަނޑާ
ސޫދު	(2) ދަރަންޏަށްދޭ ފައިސާއަށް އަތުލާ ނަފާ
ސޫދުކެއުން	ސޫދު އަތުލުން
ސޫތު	އިންޗިއެއްގެ އަށްބައިކުޅަ އެއްބައި
ސޫތުކެއުން	ސޫދުކެއުން
ސޫސަގޯތުރަ	) ކަމަށް ހަލުއި
ސޫޓުކޭސް	ދަތުރު ކުރާއިރު އަންނައުނު ފަދަ ތަކެތި ލާފޮށި
ސޫޖީ	ރަވައިގައި ނުވަތަ ފާރޮށީކުނޑިގައި ކައްކާ ފޮނި އޮލަބުއިމެއް
ސެހުން	) ހެހުން
ސެހެރީ	(2) ތަރުވާޒު
ސެހެރުން	(2) ކެނދުން
ސެނެންސާ	) ތިނޯސް
ސެންސަރު	ޢާއްމުކޮށް ދައްކާ ފިލްމާއި ތަމްސީލާއި ޢާއްމުކޮށް ނެރޭ ނޫހާއި މަޖައްލާ ފަދަ ތަކެތި ކުރާފާސް
ސެންސަރުކުރުން	މަޖައްލާ ފަދަތަކެތި އެތަނެއްގެ ޤާނޫނީ އިޖްތިމާޢީ ހަމަތަކަކަށް ފެތޭތޯ ބަލައިފާސްކުރުން
ސެންސަރުވުން	ސެންސަރުކޮށް ނިމުން
ސެންޓަރު	(2) ކަމެއް ކުރުމަށް ނުވަތަ ހިންގުމަށް އުފައްދައިފައިވާ އޮފީސް
ސެންޓިމީޓަރު	މީޓަރެއްގެ ސަތޭކަބައިކުޅަ އެއްބައި
ސެންޓިލީޓަރު	ލީޓަރެއްގެ ސަތޭކަބައިކުޅަ އެއްބައި
ސެންޓިގުރާމު	ގުރާމެއްގެ ސަތޭކަބައިކުޅަ އެއްބައި
ސެންޓިގްރޭޑް	ފެންގަނޑުވާ ހިސާބާއި ފެންކެކޭ ހިސާބު ބަހައިފައިވަނީ 001 ދަރަޖައަށެވެ
ސެންޓު	(2) ބައެއް ޤައުމުތަކުގެ ފައިސާގެ ލާރިޔަށް ކިޔާނަން
ސެންޕަލު	(2) ނަމޫނާ އެތި
ސެރު	ދެރާތަލުގެ ބަރުދަން
ސެކަރީން	މިބޭނުން ކުރަނީ އާދައިގެ ހަކުރު ބޭނުން ނުކުރެވޭ ކަހަލަ ކަންތަކަށެވެ
ސެކްރެޓަރީ	ވެރިއެއްގެ ދަށުން ލިޔެކިޔުމާއި އިދާރީ ކަންތައްތައް ބަލަހައްޓަން ހުންނަ މުވައްޒަފު
ސެކްރެޓަރީކަން	ވެރިއެއްގެ ދަށުން ލިޔެކިޔުމާއި އިދާރީކަންތައްތައް ބަލަހައްޓަން ހުންނަ މީހާގެ ވަޒީފާ
